9 81
0 0 2147483647
0 1 33
1 0 33
0 2 88
2 0 88
0 3 26
3 0 26
0 4 36
4 0 36
0 5 89
5 0 89
0 6 36
6 0 36
0 7 21
7 0 21
0 8 2
8 0 2
1 1 2147483647
1 2 100
2 1 100
1 3 71
3 1 71
1 4 15
4 1 15
1 5 52
5 1 52
1 6 28
6 1 28
1 7 40
7 1 40
1 8 45
8 1 45
2 2 2147483647
2 3 35
3 2 35
2 4 18
4 2 18
2 5 55
5 2 55
2 6 42
6 2 42
2 7 88
7 2 88
2 8 11
8 2 11
3 3 2147483647
3 4 92
4 3 92
3 5 8
5 3 8
3 6 41
6 3 41
3 7 98
7 3 98
3 8 10
8 3 10
4 4 2147483647
4 5 89
5 4 89
4 6 59
6 4 59
4 7 47
7 4 47
4 8 70
8 4 70
5 5 2147483647
5 6 47
6 5 47
5 7 28
7 5 28
5 8 95
8 5 95
6 6 2147483647
6 7 65
7 6 65
6 8 24
8 6 24
7 7 2147483647
7 8 35
8 7 35
8 8 2147483647
